theta,phi,areaA,areaB,areaI
0.035684865,4.5324364,0.12521362,0.12522125,0.1194725
0.03612818,2.1324754,0.12517929,0.12517929,0.119594574
0.03656612,6.0157,0.1250763,0.1250763,0.12176132
0.036998883,3.6157389,0.125103,0.12510681,0.12106705
0.03742664,1.2157779,0.12527084,0.12516403,0.11924744
0.037849568,5.0990024,0.12517929,0.12519073,0.119125366
0.038267825,2.6990414,0.12509537,0.12508392,0.121040344
0.03868156,0.2990651,0.12509537,0.12508392,0.12150574
0.03909092,4.1822896,0.12517166,0.12518692,0.119083405
0.039496038,1.7823286,0.1251831,0.12519073,0.118824005
0.039897047,5.665553,0.12512207,0.12512589,0.12012863
0.040294066,3.265592,0.12507248,0.12505722,0.121780396
0.040687215,0.8656311,0.12516785,0.12517166,0.11922836
0.0410766,4.7488556,0.12516785,0.12516785,0.11869812
0.041462332,2.3488793,0.12511826,0.12514496,0.11927414
0.04184451,6.232104,0.1250534,0.12505722,0.12179947
0.042223234,3.8321428,0.12514496,0.12514877,0.11956787
0.04259859,1.4321818,0.12517548,0.12517929,0.11834335
0.04297067,5.3154063,0.12516022,0.12513733,0.11861038
0.043339558,2.9154453,0.12506485,0.12507248,0.12124252
0.043705333,0.51548433,0.12512207,0.12512207,0.12012482
0.044068076,4.3986936,0.12519455,0.12519836,0.11808777
0.044427857,1.9987326,0.12525177,0.12519073,0.11817169
0.04478475,5.881957,0.12508392,0.12509537,0.120578766
0.045138825,3.481996,0.12508392,0.12508392,0.12081909
0.045490146,1.0820351,0.12518692,0.12519455,0.11802673
0.045838773,4.9652443,0.12520218,0.12518692,0.11779785
0.046184774,2.5652986,0.12512207,0.12511063,0.11954117
0.0465282,0.1653223,0.12508392,0.12503815,0.12110138
0.046869118,4.048562,0.12517166,0.12516785,0.118206024
0.04720757,1.6485858,0.12517929,0.12517929,0.11766815
0.04754487,5.5318255,0.12518692,0.12516785,0.1186409
0.047878552,3.1318493,0.12511826,0.12507248,0.12156677
0.048209924,0.73187304,0.12514496,0.12512589,0.11859131
0.048539035,4.615113,0.1251831,0.12520218,0.117435455
0.048865933,2.2151365,0.12511826,0.12512589,0.11779404
0.049190663,6.0983763,0.12504959,0.12504959,0.12081528
0.04951326,3.6984,0.12511444,0.12512207,0.11924362
0.049833775,1.2984543,0.12518692,0.12519455,0.11714554
0.05015224,5.1816635,0.12519455,0.12519836,0.11729431
0.0504687,2.7816873,0.12504959,0.12506104,0.12025833
0.050783187,0.38174152,0.12505722,0.1250534,0.12004852
0.05109574,4.2649508,0.1251831,0.12517929,0.117076874
0.051406395,1.865005,0.1251831,0.12519455,0.11689758
0.051715184,5.7482142,0.125103,0.12511063,0.11909485
0.052022144,3.3482685,0.12504196,0.12505722,0.120513916
0.052327305,0.94829226,0.12516785,0.12516785,0.11725998
0.052630696,4.8315015,0.12519073,0.1251831,0.116760254
0.05293235,2.4315557,0.12514114,0.12514496,0.118068695
0.0532323,0.031579494,0.124996185,0.12500763,0.120975494
0.05353057,3.9148192,0.1251297,0.12512207,0.11771393
0.053827185,1.514843,0.12517929,0.12517548,0.116672516
0.05412218,5.3980827,0.12515259,0.1251564,0.117191315
0.054415576,2.9981065,0.1250267,0.12503433,0.12048721
0.0547074,0.5981302,0.12509918,0.12510681,0.1183815
0.054997675,4.48137,0.125206,0.12524414,0.11634064
0.05528643,2.0813937,0.12517548,0.12518692,0.116539
0.055573687,5.9646335,0.12506104,0.12504959,0.11986542
0.055859465,3.5646572,0.12506866,0.12506485,0.11929703
0.056143794,1.1647115,0.12518692,0.12517929,0.11624527
0.05642669,5.0479207,0.12519455,0.12516785,0.116119385
0.056708176,2.6479445,0.1250763,0.12506104,0.11873627
0.056988273,0.24799871,0.12503433,0.12503433,0.11993408
